Teams,Team,Div,Conf,City
Anaheim Ducks,ANA,WEST,WESTERN,Anaheim; California
Arizona Coyotes,ARI,WEST,WESTERN,Glendale; Arizona
Boston Bruins,BOS,EAST,EASTERN,Boston; Massachusetts
Buffalo Sabres,BUF,EAST,EASTERN,Buffalo; New York
Calgary Flames,CGY,NORTH,WESTERN,Calgary; Alberta
Carolina Hurricanes,CAR,CENTRAL,EASTERN,Raleigh; North Carolina
Chicago Blackhawks,CHI,CENTRAL,WESTERN,Chicago; Illinois
Colorado Avalanche,COL,WEST,WESTERN,Denver; Colorado
Columbus Blue Jackets,CBJ,CENTRAL,EASTERN,Columbus; Ohio
Dallas Stars,DAL,CENTRAL,WESTERN,Dallas; Texas
Detroit Red Wings,DET,CENTRAL,EASTERN,Detroit; Michigan
Edmonton Oilers,EDM,NORTH,WESTERN,Edmonton; Alberta
Florida Panthers,FLA,CENTRAL,EASTERN,Sunrise; Florida
Los Angeles Kings,LAK,WEST,WESTERN,Los Angeles; California
Minnesota Wild,MIN,WEST,WESTERN,Saint Paul; Minnesota
Montreal Canadiens,MTL,NORTH,EASTERN,Montreal; Quebec
Nashville Predators,NSH,CENTRAL,WESTERN,Nashville; Tennessee
New Jersey Devils,NJD,EAST,EASTERN,Newark; New Jersey
New York Islanders,NYI,EAST,EASTERN,New York; New York
New York Rangers,NYR,EAST,EASTERN,Uniondale; New York
Ottawa Senators,OTT,NORTH,EASTERN,Ottawa; Ontario
Philadelphia Flyers,PHI,EAST,EASTERN, Philadelphia; Pennsylvania
Phoenix Coyotes,PHO,WEST,WESTERN, Phoenix; Arizona
Pittsburgh Penguins,PIT,EAST,EASTERN,Pittsburgh; Pennsylvania
San Jose Sharks,SJS,WEST,WESTERN,San Jose; California
St. Louis Blues,STL,WEST,WESTERN,St. Louis; Missouri
Tampa Bay Lightning,TBL,CENTRAL,EASTERN, Tampa; Florida
Toronto Maple Leafs,TOR,NORTH,EASTERN, Toronto; Ontario
Vancouver Canucks,VAN,NORTH,WESTERN, Vancouver; British Columbia
Vegas Golden Knights,VGK,WEST,WESTERN, Paradise; Nevada
Washington Capitals,WSH,EAST,EASTERN, Washington; D.C.
Winnipeg Jets,WPG,NORTH,WESTERN, Winnipeg;Manitoba
